Date,Open,High,Low,Close,Adj Close,Volume
2007-02-12,143.940002,145.949997,143.190002,145.729996,108.318275,274335200
2007-02-19,145.559998,146.419998,145.000000,145.300003,107.998672,271917000
2007-02-26,145.830002,145.949997,138.050003,138.669998,103.070694,896598200
2007-03-05,137.929993,141.419998,137.330002,140.779999,104.639046,627885300
2007-03-12,140.419998,141.339996,136.750000,138.529999,102.966667,756793400
2007-03-19,139.259995,143.809998,139.149994,143.389999,107.001701,524036300
2007-03-26,143.500000,143.649994,140.559998,142.000000,105.964500,634186800
2007-04-02,142.160004,144.440002,141.479996,144.240005,107.636009,272652200
2007-04-09,144.649994,145.320007,143.339996,145.320007,108.441933,413774500
2007-04-16,145.830002,148.619995,145.820007,148.619995,110.904488,506895800
2007-04-23,148.369995,149.800003,147.320007,149.529999,111.583549,497093300
2007-04-30,149.639999,151.119995,147.669998,150.919998,112.620834,505325300
2007-05-07,150.880005,152.820007,149.270004,150.860001,112.576073,513142200
2007-05-14,150.860001,152.619995,149.789993,152.619995,113.889420,603182100
2007-05-21,152.580002,153.500000,150.740005,151.690002,113.195435,661502200
2007-05-28,151.940002,154.399994,151.339996,154.080002,114.978920,433672000
2007-06-04,153.539993,154.389999,149.059998,151.039993,112.710350,777324100
2007-06-11,150.929993,153.660004,149.550003,153.070007,114.225250,829549100
2007-06-18,153.380005,153.580002,149.850006,150.550003,112.828964,786735600
2007-06-25,150.240005,151.649994,148.059998,150.429993,112.739006,1001504900
2007-07-02,150.869995,153.169998,150.770004,152.979996,114.650078,327793400
2007-07-09,153.160004,155.460007,150.520004,154.850006,116.051575,673995100
2007-07-16,154.990005,155.529999,152.830002,153.500000,115.039780,853182600
2007-07-23,154.179993,154.720001,145.050003,145.110001,108.751968,1533710900
2007-07-30,145.929993,149.460007,143.199997,143.800003,107.770203,1721820800
2007-08-06,144.210007,150.589996,142.529999,144.710007,108.452187,1601119800
2007-08-13,146.500000,146.889999,137.000000,144.710007,108.452187,1704847500
2007-08-20,145.169998,148.330002,143.289993,148.330002,111.165199,850360700
2007-08-27,147.850006,148.500000,143.460007,147.589996,110.610565,917764000
2007-09-03,147.449997,149.979996,145.259995,146.070007,109.471420,649649800
2007-09-10,146.520004,149.449997,144.330002,148.899994,111.592300,779932400
2007-09-17,148.309998,154.389999,147.630005,151.970001,113.893196,884054500
2007-09-24,152.419998,153.190002,150.470001,152.580002,114.892807,653372500
2007-10-01,152.600006,156.100006,152.500000,155.850006,117.355087,591641100
2007-10-08,155.389999,157.520004,154.539993,156.330002,117.716545,625121600
2007-10-15,156.270004,156.479996,149.660004,149.669998,112.701538,989902300
2007-10-22,148.860001,153.619995,148.660004,153.619995,115.675888,1182627600
2007-10-29,153.929993,155.270004,149.210007,151.199997,113.853661,1125046000
2007-11-05,149.639999,152.110001,144.889999,145.139999,109.290443,1363536200
2007-11-12,145.210007,149.399994,143.699997,145.789993,109.779922,1236645700
2007-11-19,145.279999,145.529999,141.669998,144.130005,108.529938,1019214300
2007-11-26,144.429993,149.869995,140.660004,148.660004,111.941017,1189044700
2007-12-03,148.190002,151.500000,146.309998,150.910004,113.635315,757531800
2007-12-10,151.279999,152.889999,147.100006,147.169998,110.819077,1093400500
2007-12-17,146.610001,148.419998,143.960007,148.130005,111.541916,982654100
2007-12-24,148.820007,149.679993,146.899994,147.300003,111.505615,352074300
2007-12-31,147.100006,147.610001,140.910004,141.309998,106.971191,670526600
2008-01-07,141.809998,142.899994,137.699997,140.149994,106.093071,1465959400
2008-01-14,141.160004,141.860001,131.100006,132.059998,99.968987,1535562300
2008-01-21,127.209999,136.759995,126.000000,133.039993,100.710854,1477389900
2008-01-28,133.259995,139.610001,132.059998,139.580002,105.661621,1272366500
2008-02-04,139.210007,139.300003,131.729996,133.070007,100.733582,1181381300
2008-02-11,133.100006,137.059998,132.039993,135.139999,102.300514,996516000
2008-02-18,136.720001,137.009995,132.860001,135.619995,102.663918,771817900
2008-02-25,135.539993,139.139999,132.779999,133.820007,101.301323,994469800
2008-03-03,133.139999,134.770004,128.580002,129.710007,98.190071,1317024300
2008-03-10,129.839996,133.770004,127.589996,129.610001,98.114334,1642477300
2008-03-17,126.570000,134.649994,126.070000,132.080002,99.984123,1331020000
2008-03-24,133.309998,135.809998,131.059998,131.509995,100.045494,1004908100
2008-03-31,131.289993,137.960007,131.089996,136.889999,104.138329,1012481800
2008-04-07,137.869995,138.570007,133.009995,133.380005,101.468086,914734500
2008-04-14,133.190002,139.559998,132.330002,138.479996,105.347900,920376400
2008-04-21,138.229996,139.889999,136.899994,139.600006,106.199913,894231800
2008-04-28,139.880005,142.369995,138.259995,141.509995,107.652954,808385200
2008-05-05,141.050003,142.199997,138.449997,138.899994,105.667397,828021000
2008-05-12,139.250000,142.869995,138.729996,142.660004,108.527763,860072700
2008-05-19,142.809998,144.300003,137.520004,137.639999,104.708870,949138100
2008-05-26,137.800003,140.929993,137.529999,140.350006,106.770485,640900200
2008-06-02,139.830002,140.889999,136.220001,136.289993,103.681854,1321816700
2008-06-09,136.860001,137.500000,133.520004,136.149994,103.575348,1269907600
2008-06-16,135.550003,137.119995,131.220001,131.580002,100.098740,1236913800
2008-06-23,132.089996,133.399994,127.040001,127.529999,97.502983,1321449300
2008-06-30,127.889999,129.160004,124.989998,126.309998,96.570282,1174881700
2008-07-07,126.790001,127.739998,122.489998,123.839996,94.681824,2002730700
2008-07-14,125.260002,126.419998,120.019997,125.980003,96.317924,1839386900
2008-07-21,126.510002,129.149994,124.849998,125.480003,95.935684,1299231100
2008-07-28,125.510002,128.600006,123.419998,126.160004,96.455566,1347509900
2008-08-04,126.040001,129.929993,124.760002,129.369995,98.909775,1156496800
2008-08-11,129.470001,131.509995,127.669998,130.169998,99.521431,1139575900
2008-08-18,130.429993,130.479996,126.339996,129.649994,99.123825,940772100
2008-08-25,128.800003,130.339996,126.580002,128.789993,98.466309,858819800
2008-09-01,130.029999,130.710007,122.000000,124.419998,95.125237,1133857800
2008-09-08,128.039993,128.240005,121.599998,126.089996,96.402016,1713539300
2008-09-15,121.629997,128.000000,113.800003,124.120003,94.895897,2966649400
2008-09-22,124.449997,124.750000,117.790001,120.849998,92.930618,1503425700
2008-09-29,119.139999,119.339996,109.680000,110.339996,84.848686,1947635500
2008-10-06,107.150002,107.620003,83.580002,88.500000,68.054276,3281575900
2008-10-13,93.870003,105.529999,86.540001,93.209999,71.676147,2671940000
2008-10-20,95.349998,99.099998,84.000000,87.040001,66.931587,2374443200
2008-10-27,85.970001,98.570000,83.699997,96.830002,74.459831,2394474300
2008-11-03,96.779999,100.860001,90.059998,93.860001,72.175995,1798169800
2008-11-10,95.209999,95.529999,82.089996,86.620003,66.608589,2468096000
2008-11-17,86.379997,88.559998,74.339996,79.519997,61.148872,3030111200
2008-11-24,81.919998,90.129997,80.360001,90.089996,69.276955,1465860000
2008-12-01,87.510002,88.419998,81.860001,87.930000,67.615997,2275378100
2008-12-08,90.339996,92.379997,85.199997,88.989998,68.431076,1959958100
2008-12-15,89.019997,92.430000,86.290001,88.190002,67.815887,1592338100
2008-12-22,88.580002,88.669998,85.489998,87.160004,67.567924,602214000
2008-12-29,87.239998,93.440002,85.599998,92.959999,72.064201,717605700
2009-01-05,92.629997,94.449997,85.360001,89.089996,69.064117,1444297800
2009-01-12,88.839996,88.910004,81.720001,85.059998,65.939987,2001666900
2009-01-19,84.230003,85.059998,80.050003,83.110001,64.428314,1598956800
2009-01-26,83.589996,87.949997,82.209999,82.830002,64.211266,1599551600
2009-02-02,81.570000,87.339996,77.730003,86.980003,67.428391,1673389500
2009-02-09,86.959999,87.739998,81.050003,82.760002,64.156982,1864031100
2009-02-16,80.160004,82.959999,75.769997,77.419998,60.017326,1635919000
2009-02-23,78.269997,79.669998,73.809998,73.930000,57.311817,2101752900
2009-03-02,72.519997,73.919998,67.099998,68.919998,53.427982,2308986100
2009-03-09,67.949997,76.980003,67.730003,76.089996,58.986286,1889958900
2009-03-16,76.959999,81.000000,75.449997,76.709999,59.466938,1990331000
2009-03-23,78.739998,83.300003,78.309998,81.610001,63.718319,1936336900
2009-03-30,79.800003,84.610001,77.959999,84.260002,65.787346,1826242100
2009-04-06,83.339996,85.820000,81.510002,85.809998,66.997528,1023870700
2009-04-13,84.919998,87.650002,83.610001,87.080002,67.989090,1350024300
2009-04-20,85.540001,87.309998,82.750000,86.660004,67.661194,1360782900
2009-04-27,85.680000,89.019997,84.760002,87.889999,68.621506,1386543700
2009-05-04,88.550003,93.220001,88.379997,92.980003,72.595596,1438907000
2009-05-11,91.699997,92.110001,88.150002,88.709999,69.261742,1331575400
2009-05-18,89.550003,92.800003,88.260002,89.019997,69.503777,1159072100
2009-05-25,88.360001,93.699997,88.320000,92.529999,72.244255,1030070800
2009-06-01,93.669998,95.669998,92.760002,94.550003,73.821411,1236792000
2009-06-08,93.839996,96.110001,93.040001,95.080002,74.235214,1219567000
2009-06-15,93.959999,94.019997,90.830002,92.040001,71.861694,1102335400
2009-06-22,91.139999,92.239998,88.849998,91.839996,72.110580,1098791100
2009-06-29,92.110001,93.230003,89.760002,89.809998,70.516678,782720500
2009-07-06,88.940002,89.930000,87.000000,87.959999,69.064110,956936900
2009-07-13,88.309998,94.510002,87.589996,94.129997,73.908623,989515000
2009-07-20,94.680000,98.139999,94.190002,98.059998,76.994385,990764400
2009-07-27,97.879997,99.830002,96.980003,98.809998,77.583260,973277300
2009-08-03,99.849998,102.029999,99.309998,101.199997,79.459862,951062600
2009-08-10,100.739998,101.610001,99.459999,100.790001,79.137901,883317700
2009-08-17,98.849998,103.129997,98.110001,102.970001,80.849586,1002678100
